---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
supp_rifle,150,0,0,0,0,0,0,0,1,500,4000
scope,160,0,0,0,0,0,0,0,1,500,4000
grip_angled,160,-100,0,0,0,0,0,0,1,500,4000
grip_vertical,160,-150,0,0,0,0,0,0,1,500,4000
flashlight_rifle,160,-100,0,0,0,0,0,0,1,500,4000
laser_rifle,150,0,0,0,0,0,0,0,1,500,4000
laser_pistol,120,-100,0,0,0,0,0,0,1,500,4000
acog,160,-50,0,0,0,0,0,0,1,500,4000
holo,150,0,0,0,0,0,0,0,1,500,4000
reddot,150,0,0,0,0,0,0,0,1,500,4000
painkillers,400,0,0,0,0,0,0,0,1,500,4000
knife,80,1200,0,0,0,0,0,0,1,500,4000
taser,400,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,1280,0,30,0,0,0,100,0,1,500,4000
tttknife,80,0,50,10,0,0,75,0,1,500,4000
healthstation,800,0,50,10,0,0,75,0,1,500,4000
monocular,400,0,50,10,0,0,75,0,1,500,4000
teleporter,800,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,960,0,50,10,0,0,75,0,1,500,4000
flaregun,400,0,1,0,0,0,1,0,1,500,4000
dnascanner,400,0,50,10,0,0,75,0,1,500,4000
silentcet9,520,500,25,25,50,80,50,0,1,500,4000
detectivesmg,1760,0,20,30,10,100,25,0,1,500,4000
tttc4,3200,0,50,10,100,0,75,0,1,500,4000
goldengun,2800,0,200,200,100,100,100,0,1,500,4000
grenade_dis,400,0,50,10,0,0,75,0,1,500,4000
trenchgun,1200,600,15,15,10,25,0,0,0.67,750,1500
tranqgun,1600,0,17,0,0,10,1,0,1,500,4000
hunting,960,800,50,60,100,100,100,0,1,500,4000
canted_reddot,150,0,0,0,0,0,0,0,1,500,4000
reddot_pistol,150,0,0,0,0,0,0,0,1,500,4000
tripalarm,400,600,0,80,90,0,0,0,1,500,4000
